	labels
0	1
1	1
2	0
3	6
4	1
5	0
6	6
7	1
8	1
9	0
10	0
11	0
12	0
13	6
14	1
15	0
16	6
17	1
18	1
19	1
20	0
21	0
22	1
23	6
24	6
25	0
26	1
27	0
28	1
29	1
30	6
31	6
32	0
33	0
34	1
35	0
36	6
37	0
38	1
39	1
40	1
41	1
42	6
43	6
44	6
45	6
46	6
47	6
48	6
49	0
50	6
51	1
52	0
53	6
54	0
55	0
56	0
57	1
58	0
59	6
60	1
61	0
62	1
63	1
64	0
65	6
66	0
67	1
68	6
69	1
70	6
71	0
72	1
73	1
74	0
75	1
76	6
77	6
78	6
79	1
80	1
81	1
82	1
83	1
84	6
85	1
86	6
87	0
88	0
89	6
90	6
91	6
92	0
93	6
94	0
95	6
96	6
97	1
98	6
99	0
100	0
101	6
102	1
103	6
104	1
105	0
106	6
107	1
108	6
109	1
110	0
111	0
112	1
113	1
114	6
115	6
116	0
117	0
118	1
119	1
120	1
121	0
122	6
123	1
124	1
125	6
126	1
127	0
128	6
129	6
130	0
131	1
132	0
133	6
134	1
135	1
136	1
137	6
138	0
139	0
140	6
141	6
142	1
143	1
144	0
145	0
146	1
147	1
148	1
149	6
150	0
151	0
152	6
153	1
154	0
155	0
156	6
157	6
158	1
159	0
160	1
161	0
162	1
163	1
164	6
165	6
166	0
167	0
168	6
169	6
170	6
171	6
172	1
173	0
174	1
175	1
176	6
177	1
178	6
179	6
180	1
181	0
182	6
183	1
184	0
185	1
186	6
187	1
188	1
189	0
190	0
191	6
192	0
193	0
194	0
195	1
196	1
197	1
198	1
199	0
200	6
201	0
202	6
203	0
204	1
205	1
206	1
207	0
208	0
209	1
210	1
211	6
212	6
213	0
214	0
215	6
216	6
217	1
218	1
219	1
220	1
221	6
222	1
223	1
224	6
225	6
226	1
227	6
228	1
229	1
230	1
231	1
232	6
233	6
234	1
235	1
236	1
237	0
238	1
239	1
240	6
241	1
242	0
243	1
244	6
245	0
246	1
247	0
248	0
249	6
250	0
251	1
252	0
253	1
254	6
255	6
256	1
257	0
258	0
259	0
260	1
261	6
262	1
263	6
264	1
265	0
266	0
267	1
268	1
269	6
270	6
271	6
272	1
273	6
274	1
275	6
276	1
277	6
278	6
279	1
280	0
281	6
282	0
283	0
284	1
285	6
286	6
287	1
288	6
289	1
290	6
291	6
292	1
293	6
294	0
295	6
296	0
297	0
298	1
299	1
300	6
301	1
302	6
303	0
304	1
305	6
306	1
307	6
308	1
309	6
310	0
311	1
312	6
313	0
314	1
315	1
316	0
317	0
318	1
319	6
320	6
321	1
322	0
323	1
324	1
325	1
326	1
327	0
328	1
329	6
330	6
331	0
332	6
333	0
334	0
335	0
336	0
337	0
338	0
339	6
340	0
341	1
342	6
343	1
344	6
345	6
346	1
347	0
348	1
349	6
350	0
351	1
352	0
353	1
354	0
355	1
356	6
357	1
358	1
359	1
360	1
361	6
362	6
363	6
364	0
365	0
366	6
367	6
368	0
369	0
370	1
371	6
372	0
373	0
374	0
375	0
376	6
377	1
378	6
379	0
380	0
381	6
382	0
383	0
384	0
385	0
386	6
387	6
388	0
389	0
390	1
391	6
392	1
393	0
394	6
395	6
396	1
397	6
398	1
399	1
400	6
401	1
402	1
403	0
404	1
405	6
406	1
407	6
408	0
409	0
410	6
411	6
412	6
413	0
414	0
415	1
416	0
417	1
418	6
419	6
420	6
421	6
422	1
423	1
424	6
425	6
426	0
427	0
428	6
429	6
430	6
431	6
432	1
433	1
434	0
435	6
436	0
437	1
438	6
439	6
440	1
441	6
442	1
443	1
444	0
445	6
446	1
447	6
448	6
449	6
450	1
451	1
452	6
453	0
454	1
455	0
456	0
457	6
458	1
459	0
460	1
461	1
462	6
463	0
464	6
465	0
466	6
467	1
468	1
469	1
470	1
471	1
472	1
473	6
474	6
475	0
476	1
477	0
478	6
479	1
480	0
481	6
482	1
483	6
484	1
485	1
486	6
487	1
488	1
489	6
490	6
491	0
492	1
493	6
494	0
495	1
496	0
497	1
498	6
499	0
500	1
501	1
502	0
503	0
504	0
505	6
506	6
507	0
508	0
509	1
510	6
511	1
512	6
513	0
514	1
515	1
516	0
517	6
518	1
519	6
520	6
521	6
522	1
523	0
524	0
525	6
526	0
527	0
528	1
529	0
530	6
531	6
532	6
533	6
534	6
535	6
536	6
537	6
538	1
539	0
540	0
541	0
542	6
543	0
544	6
545	0
546	0
547	6
548	0
549	0
550	1
551	6
552	0
553	0
554	1
555	0
556	0
557	0
558	1
559	1
560	1
561	1
562	6
563	6
564	6
565	1
566	1
567	0
568	6
569	0
570	1
571	1
572	6
573	0
574	6
575	0
576	1
577	0
578	1
579	0
580	0
581	1
582	1
583	6
584	6
585	1
586	0
587	0
588	6
589	6
590	6
591	0
592	6
593	1
594	1
595	1
596	0
597	1
598	1
599	1
600	1
601	6
602	1
603	1
604	1
605	0
606	6
607	1
608	6
609	6
610	1
611	0
612	6
613	6
614	0
615	0
616	6
617	0
618	0
619	1
620	1
621	0
622	0
623	1
624	0
625	1
626	0
627	1
628	1
629	0
630	0
631	0
632	0
633	6
634	1
635	0
636	0
637	0
638	0
639	1
640	1
641	6
642	1
643	0
644	0
645	6
646	6
647	6
648	0
649	0
650	0
651	1
652	6
653	6
654	1
655	1
656	6
657	6
658	1
659	0
660	1
661	0
662	6
663	6
664	6
665	6
666	1
667	6
668	6
669	1
670	6
671	1
672	1
673	6
674	6
675	1
676	0
677	1
678	6
679	1
680	1
681	0
682	0
683	1
684	0
685	1
686	6
687	6
688	0
689	1
690	0
691	1
692	0
693	0
694	6
695	1
696	0
697	0
698	1
699	0
700	0
701	1
702	1
703	1
704	1
705	1
706	6
707	0
708	6
709	6
710	0
711	0
712	1
713	1
714	6
715	6
716	0
717	6
718	0
719	0
720	6
721	0
722	1
723	1
724	6
725	6
726	6
727	1
728	1
729	1
730	1
731	6
732	1
733	1
734	1
735	6
736	6
737	0
738	0
739	6
740	1
741	6
742	0
743	0
744	1
745	1
746	6
747	6
748	1
749	1
750	6
751	1
752	6
753	6
754	1
755	1
756	1
757	0
758	6
759	1
760	6
761	1
762	6
763	6
764	0
765	0
766	1
767	6
768	0
769	6
770	6
771	6
772	6
773	6
774	0
775	0
776	1
777	1
778	1
779	1
780	6
781	0
782	0
783	1
784	1
785	0
786	6
787	1
788	0
789	0
790	0
791	0
792	0
793	6
794	1
795	1
796	6
797	0
798	1
799	0
800	6
801	1
802	1
803	6
804	1
805	6
806	1
807	6
808	6
809	0
810	0
811	0
812	1
